order_id,ordered_at,total_amount,currency,utm_campaign
ORD-00001,2026-08-20T10:15:00+05:30,1449.00,INR,Evergreen Retargeting
ORD-00002,2026-08-20T11:15:00+05:30,1599.00,INR,
ORD-00003,2026-08-20T12:15:00+05:30,1749.00,INR,Evergreen Retargeting
ORD-00004,2026-08-21T10:15:00+05:30,1899.00,INR,Summer Sale 2026
ORD-00005,2026-08-21T11:15:00+05:30,2049.00,INR,June Promo 2026
ORD-00006,2026-08-21T12:15:00+05:30,2199.00,INR,Summer Sale 2026
ORD-00007,2026-08-21T13:15:00+05:30,2349.00,INR,June Promo 2026
ORD-00008,2026-08-22T10:15:00+05:30,2499.00,INR,Summer Sale 2026
ORD-00009,2026-08-22T11:15:00+05:30,2649.00,INR,June Promo 2026
ORD-00010,2026-08-22T12:15:00+05:30,2799.00,INR,Summer Sale 2026
ORD-00011,2026-08-22T13:15:00+05:30,2949.00,INR,June Promo 2026
ORD-00012,2026-08-22T14:15:00+05:30,3099.00,INR,Summer Sale 2026
ORD-00013,2026-08-23T10:15:00+05:30,3249.00,INR,Evergreen Retargeting
ORD-00014,2026-08-23T11:15:00+05:30,3399.00,INR,
ORD-00015,2026-08-23T12:15:00+05:30,3549.00,INR,Evergreen Retargeting
ORD-00016,2026-08-23T13:15:00+05:30,3699.00,INR,
ORD-00017,2026-08-23T14:15:00+05:30,1299.00,INR,Evergreen Retargeting
ORD-00018,2026-08-23T15:15:00+05:30,1449.00,INR,
ORD-00019,2026-08-24T10:15:00+05:30,1599.00,INR,
ORD-00020,2026-08-24T11:15:00+05:30,1749.00,INR,Evergreen Retargeting
ORD-00021,2026-08-24T12:15:00+05:30,1899.00,INR,
ORD-00022,2026-08-24T13:15:00+05:30,2049.00,INR,Evergreen Retargeting
ORD-00023,2026-08-24T14:15:00+05:30,2199.00,INR,
ORD-00024,2026-08-24T15:15:00+05:30,2349.00,INR,Evergreen Retargeting
ORD-00025,2026-08-24T16:15:00+05:30,2499.00,INR,
ORD-00026,2026-08-25T10:15:00+05:30,2649.00,INR,June Promo 2026
ORD-00027,2026-08-25T11:15:00+05:30,2799.00,INR,Summer Sale 2026
ORD-00028,2026-08-25T12:15:00+05:30,2949.00,INR,June Promo 2026
ORD-00029,2026-08-26T10:15:00+05:30,3099.00,INR,Evergreen Retargeting
ORD-00030,2026-08-26T11:15:00+05:30,3249.00,INR,
ORD-00031,2026-08-26T12:15:00+05:30,3399.00,INR,Evergreen Retargeting
ORD-00032,2026-08-26T13:15:00+05:30,3549.00,INR,
ORD-00033,2026-08-27T10:15:00+05:30,3699.00,INR,Evergreen Retargeting
